name,longitude,latitude,staytime,tag
北京大学图书馆,116.30393853823529,39.99052945,40,学术;打卡
理科五号楼,116.30856646153846,39.98835173846154,10,学术
综合科研1号楼（逸夫楼）,116.30087648888889,39.98895822222222,15,学术
58号楼,116.30341526666668,39.98787686190476,5,生活
物理学院楼,116.31053770666668,39.99156691333334,10,学术
微纳电子大厦,116.30810426000001,39.99329408,10,学术
环境科学与工程学院（刘水楼）,116.30865943500001,39.993248315,10,学术
理科三号楼（曙东楼）,116.30857021578947,39.990326878947364,10,学术
21楼,116.30490656666666,39.98632713333333,5,生活
19楼,116.30488073333333,39.986860766666666,5,生活
22楼,116.30497436666667,39.985904233333336,5,生活
20楼,116.30465548333332,39.9865615,5,生活
23楼,116.30470091666666,39.98562616666667,5,生活
理科一号楼,116.30699334871795,39.98945077179487,10,学术
生命科学学院大楼,116.30846319333334,39.99112932,10,学术
北京大学校医院,116.30799016567164,39.99541348358209,20,生活
光华管理学院1号楼,116.30570894,39.989544144,30,学术;打卡
吕志和楼,116.30695901428571,39.991218278571424,5,学术
顾颉刚故居,116.30832958,39.99429616,20,历史
全斋,116.30351848000001,39.994884,20,历史
教育基金会,116.30426812,39.99556302,10,生活
理科二号楼（逸夫苑）,116.30855091111113,39.98949135,10,学术
新奥工学大楼,116.3110155625,39.99327723125,10,学术
邱德拔体育馆,116.30894751428572,39.9873434,40,运动;打卡
遥感楼,116.30648273333333,39.99193344444444,5,学术
政府管理学院（廖凯原楼）,116.30843425454546,39.994470445454546,5,学术
恩佑寺山门,116.29835175999999,39.9920034,10,历史;打卡
百周年纪念讲堂,116.30448717142858,39.98854587857143,30,打卡;历史
艺园餐厅,116.30077435999999,39.98715168,40,美食
海淀游泳馆,116.29627195714285,39.98599757142857,60,运动
西44楼,116.31060835999999,39.997010620000005,5,生活
19公寓,116.31142107999999,39.996969,5,生活
15公寓,116.31249166,39.9977267,5,生活
17公寓,116.31140135999999,39.997672460000004,5,生活
18公寓,116.3114112,39.9973081,5,生活
西43楼,116.31058762,39.99734448,5,生活
西8楼,116.31224635999999,39.99702064,5,生活
西42楼,116.31052898,39.9976645,5,生活
第一教学楼,116.30433764285713,39.991547000000004,5,学术
第二体育馆,116.30204828000001,39.98949948,30,运动
北大西门,116.29859268888887,39.99329597777778,10,打卡;历史
化学北楼,116.29976630000002,39.99290828,10,学术
化学南楼,116.29977632,39.99234048,10,学术
校史馆,116.30005644,39.992025319999996,30,历史
档案馆,116.30038724,39.99262842,5,生活
星海体育场,116.29606319,39.98715868,30,运动
资源宾馆,116.29996107142857,39.98577137142858,20,生活
35楼,116.30287349,39.98641654,5,生活
32楼,116.30383101,39.98644143,5,生活
44楼,116.30075802857142,39.98668222857143,5,生活
王克桢楼,116.30891843333332,39.98600262222222,10,学术
第四教学楼,116.30808725000001,39.987998016666666,5,学术
第三教学楼（刘卿楼）,116.30776895,39.9877428125,5,学术
第二教学楼（李兆基楼）,116.30731398333334,39.98827980833333,5,学术
博雅塔,116.30578297777778,39.99263678888889,20,打卡;景观;历史
法学院（陈明楼）,116.30779303333333,39.994161399999996,10,学术
光华管理学院,116.30716855714286,39.994331502040815,10,学术
光华管理学院2号楼,116.30768857058824,39.99477275882353,5,学术
法学院（凯原楼）,116.30744974,39.99324992,5,学术
外文楼,116.29976858,39.99372396,5,学术
办公楼（贝公楼）,116.3004074923077,39.99334340769231,5,学术
赛克勒考古与艺术博物馆,116.29977214444443,39.994435100000004,5,学术
民主楼,116.30037606,39.994009899999995,10,学术
德斋,116.300943,39.994157683333334,10,历史
才斋,116.30158128333333,39.994086616666664,10,历史
审计室,116.30124454285715,39.99430701428571,5,生活
均斋,116.30222149999999,39.99420025,10,历史
备斋,116.30286110000002,39.99420785,10,历史
人事部,116.3025291142857,39.994336999999994,5,生活
第一体育馆,116.30545826,39.993932259999994,40,运动
勺园4号楼,116.29940064545454,39.989904381818185,5,生活
勺园5号楼,116.29923654,39.99084054,5,生活
北京大学国际关系学院,116.30061296785713,39.99048370714286,10,学术
勺园6号楼,116.29983801,39.989625180000004,5,生活
勺园7号楼,116.300003475,39.98915928,5,生活
勺园8号楼,116.29944100555556,39.98933207777778,5,生活
勺园9号楼,116.29930174615384,39.9888401923077,5,生活
学五食堂,116.30086894000002,39.98767074,40,美食
31楼,116.30256864285715,39.98708958571429,5,生活
29楼,116.30322248333333,39.9873461,5,生活
30楼,116.30325138333335,39.98684748333333,5,生活
28楼,116.30405965,39.987134000000005,5,生活
农园餐厅,116.30609624285715,39.98752677142857,40,美食
教育学院,116.30555932,39.987729200000004,10,学术
对外汉语教育学院及信息管理系（方李邦琴楼）,116.30567902142857,39.98665795714286,5,学术
新闻与传播学院（蒙民伟楼）,116.30574911428572,39.98579327142857,10,学术
五四体育中心,116.30621259,39.98623334,40,运动
海淀体育馆,116.29768363333334,39.988439774999996,40,运动
未来科技大厦,116.29848618,39.98592991333333,10,学术
方正大厦,116.3104925375,39.989922379166664,10,学术
45甲楼,116.2996177181818,39.988193700000004,5,生活
45乙楼,116.29972399411766,39.9885375,5,生活
45楼,116.29965148888888,39.987833011111114,5,生活
岛厅,116.30352024444444,39.993402044444444,10,历史;景观
北阁,116.30141472,39.99179476,10,历史;景观
南阁,116.30142754,39.99146296,10,历史;景观
临湖轩,116.30301847272727,39.99226177272727,15,历史;景观
俄文楼,116.30259194,39.99165042,10,学术
哲学楼,116.30419623125,39.98965034375,10,学术
一院,116.30139952727272,39.99087227272727,10,历史;景观
二院,116.30142117,39.99038591,10,历史;景观
三院,116.30142743636362,39.98990134545455,10,历史;景观
四院,116.30275362,39.98993107,10,历史;景观
五院,116.30269940999999,39.99040493,10,历史;景观
六院,116.30268778,39.99088168,10,历史;景观
北京大学化学学院A区,116.31159168571428,39.9894625,5,学术
北京大学化学学院B区,116.31118710000001,39.9898464,5,学术
北京大学化学学院C区,116.31167697999999,39.99018443999999,5,学术
北京大学化学学院D区,116.31133776000001,39.990464020000005,5,学术
文史楼,116.30567278571428,39.990904785714285,5,学术
学一食堂,116.30169664285714,39.986257928571426,40,美食
北京大学燕东园34号楼,116.310373,39.9944896,5,生活
北京大学-战略研究所,116.3103754,39.99414704,5,学术
北京大学-燕东园小楼32号楼,116.31077424,39.99415054,5,生活
北京大学-燕东园小楼31号楼,116.31110411428573,39.994092442857145,5,生活
松林餐厅,116.30200688333333,39.986465933333335,40,美食
餐饮综合楼（家园食堂）,116.30178069000002,39.9870349,40,美食
43楼,116.30069392,39.986228340000004,5,生活
理科教学楼（黄廷方楼）,116.30710668333333,39.99028755555556,5,学术
英杰交流中心,116.30771306153846,39.98939210769231,10,学术
地学楼,116.30568817142857,39.9904455,5,学术
老化学楼,116.30570995000001,39.990061159999996,5,学术
电化教学楼（智华楼）,116.30583169534883,39.988567153488376,5,学术
老生物楼,116.30562323,39.99121571,5,学术
体斋,116.30318838000001,39.99434618,10,历史;景观
勺园食堂,116.29953205454545,39.99041892727273,40,美食
佟园餐厅（清真）,116.30068698,39.9897648,40,美食
勺园1号楼,116.29986037142858,39.990100771428565,5,生活
勺园3号楼,116.29982244285713,39.99074555714286,5,生活
勺园2号楼,116.29979620588236,39.99043068823529,5,生活
新太阳学生中心（16楼-18楼）,116.304781875,39.98761023,10,生活
燕南食堂,116.30411047142857,39.98925472857143,40,美食
伟利楼,116.30433928,39.992261459999995,10,生活
健斋,116.30333123999999,39.99451494,10,历史;景观
阿卜杜勒·阿齐兹国王公共图书馆北京大学分馆（古籍图书馆）,116.3033211,39.991522833333335,10,学术
生物标本馆,116.30549174285714,39.991607571428574,10,学术
北大附中实验学校 阅览楼,116.29585634,39.99239218,10,学术
方楼,116.306312,39.99231058,5,学术
保护生物学楼,116.29981304,39.99577212,10,学术
保护生物学新楼,116.29984099999999,39.995572422222224,10,学术
生物技术楼,116.29971661666667,39.99526048333333,5,学术
燕园大厦,116.30892345714285,39.9865236,5,学术
经济学院（孝义金晖楼）,116.30675241111112,39.99556101851852,10,学术
64号楼,116.29638462,39.992891279999995,5,生活
65号楼,116.29742773333334,39.99291935555556,5,生活
畅春园食堂,116.29769864545455,39.992806836363634,40,美食
59号楼,116.29741912,39.99226571,5,生活
58号楼,116.29749442222221,39.99192592222222,5,生活
57号楼,116.29754092222223,39.991618433333336,5,生活
61号楼,116.2963840875,39.9921947,5,生活
62号楼,116.29648737142858,39.991875699999994,5,生活
63号楼,116.29641976,39.99153562,5,生活
60号楼,116.2964152,39.99251292857143,5,生活
教学楼,116.29524471764705,39.991854100000005,10,学术
综合科研2号楼,116.30109933333333,39.988159079999996,5,学术
核磁中心,116.30154672222223,39.98848092222222,5,学术
51号楼,116.30260944,39.98903934,5,生活
52号楼,116.3029789,39.989021055555554,5,生活
60号楼,116.30304631999999,39.9885014,5,生活
59号楼,116.30306527333333,39.98816177333333,5,生活
53号楼,116.3035895888889,39.989059866666665,5,生活
54号楼,116.3034429909091,39.988734300000004,5,生活
56号楼,116.30344118000001,39.988327850000005,5,生活
62号楼,116.30257796000001,39.9880714,5,生活
61号楼,116.30221727777777,39.988086144444445,5,生活
50号楼,116.30181980909092,39.98895218181818,5,生活
北京大学城市与环境学院,116.3099179,39.99475726666667,10,学术
北京大学建筑与景观设计学院,116.30982469333334,39.995546940000004,10,学术
朗润园11号楼,116.30557612,39.9977499,5,生活
朗润园10号楼,116.30563079999999,39.9974523,5,生活
朗润园9号楼,116.30568836,39.99713488,5,生活
朗润园8号楼,116.30574016,39.9968284,5,生活
朗润园13号楼,116.30358262,39.997657319999995,5,生活
科维理天文与天体物理研究所,116.3047330888889,39.99790981111111,5,学术
西46楼,116.30971847999999,39.997646100000004,5,生活
西47楼,116.30998193999999,39.99731344,5,生活
哲学系（宗教学系）,116.30607571666667,39.99524606666667,10,学术
中国语言文学系,116.30589881666667,39.99617765,5,学术
历史学系,116.30517970625,39.9961493625,5,学术
李兆基人文学苑,116.30548771333333,39.99576767333333,10,学术
李兆基人文学苑,116.30544814210526,39.995582999999996,10,学术
李兆基人文学苑,116.30555333888888,39.99537188888889,10,学术
46楼,116.2996809888889,39.987461555555555,5,生活
47楼,116.29976578888889,39.987031099999996,5,生活
48楼,116.29979607777778,39.98666105555556,5,生活
中水站,116.29862997000001,39.995124419999996,5,生活
考古文博学院,116.30034610000001,39.995451554545454,20,学术
实验动物中心B座,116.300484525,39.99597779166667,5,学术
外国语学院,116.30651947777778,39.99680131111111,5,学术
2 号楼,116.29753285172413,39.99025855517242,5,生活
校景亭,116.30052014,39.994984720000005,15,景观
3 号楼,116.29745111111112,39.990679418518525,5,生活
1 号楼,116.29753144800002,39.989907884,5,生活
4 号楼,116.297422825,39.99106002916667,5,生活
实验动物中心A座,116.299714975,39.9959508375,5,学术
李兆基人文学苑,116.30537771666667,39.995132250000005,5,学术
北大-港理工中国社会工作研究中心（恩善苑）,116.30146074545455,39.99628267272727,10,学术
章桂堂,116.30462378,39.992316779999996,10,生活;景观
亨利楼,116.30500344,39.9922655,10,生活
北大科技园,116.30837258888889,39.99635804444445,30,学术
北京大学南门,116.3054565,39.98527,0,起点
西南门,116.2995189,39.9864392,0,起点
东门,116.3093076,39.9907995,0,起点
东侧门,116.3092297,39.991764,0,起点
东南门,116.3094367,39.9887974,0,起点